,accuracy,auroc,f1,sensitivity,specificity,youden_index,optimal_threshold,fpr,tpr,best_epoch,train_loss
Epat39,0.5263157894736842,0.6181818181818183,0.35714285714285715,1.0,0.4545454545454546,0.4545454545454546,0.25826457,"[0.0, 0.030303030303030304, 0.21212121212121213, 0.21212121212121213, 0.3939393939393939, 0.3939393939393939, 0.5454545454545454, 0.5454545454545454, 1.0]","[0.0, 0.0, 0.0, 0.4, 0.4, 0.6, 0.6, 1.0, 1.0]",6,0.6176033659920174
Spat53,0.48936170212765956,0.4782608695652174,0.07692307692307693,1.0,0.4782608695652174,0.4782608695652174,0.31686345,"[0.0, 0.021739130434782608, 0.5217391304347826, 0.5217391304347826, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0]",6,0.6391590546863348
Epat37,0.8360655737704918,0.8214285714285714,0.4444444444444444,0.8,0.8392857142857143,0.6392857142857143,0.5751855,"[0.0, 0.017857142857142856, 0.05357142857142857, 0.05357142857142857, 0.10714285714285714, 0.10714285714285714, 0.16071428571428573, 0.16071428571428573, 0.4107142857142857, 0.4107142857142857, 1.0]","[0.0, 0.0, 0.0, 0.2, 0.2, 0.4, 0.4, 0.8, 0.8, 1.0, 1.0]",6,0.63079528330238
Spat36,0.5777777777777777,0.6752136752136753,0.3448275862068966,0.8333333333333334,0.5384615384615384,0.3717948717948718,0.40104306,"[0.0, 0.02564102564102564, 0.05128205128205128, 0.05128205128205128, 0.28205128205128205, 0.28205128205128205, 0.38461538461538464, 0.38461538461538464, 0.46153846153846156, 0.46153846153846156, 0.717948717948718, 0.717948717948718, 1.0]","[0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",6,0.6459402767377507
Spat34,0.16666666666666666,0.22499999999999998,0.10256410256410256,1.0,0.125,0.125,0.6507497,"[0.0, 0.025, 0.675, 0.675, 0.875, 0.875, 1.0]","[0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 1.0]",6,0.6341004922412312
Epat38,0.7536231884057971,0.4391534391534392,0.19047619047619047,0.3333333333333333,0.7936507936507937,0.12698412698412698,0.46757504,"[0.0, 0.015873015873015872, 0.12698412698412698, 0.12698412698412698, 0.20634920634920634, 0.20634920634920634, 0.5396825396825397, 0.5396825396825397, 0.746031746031746, 0.746031746031746, 0.8571428571428571, 0.8571428571428571, 0.8888888888888888, 0.8888888888888888, 1.0]","[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",6,0.6265634539870174
Spat30,0.5689655172413793,0.5916666666666668,0.3902439024390244,0.8,0.5208333333333333,0.32083333333333336,0.397205,"[0.0, 0.020833333333333332, 0.020833333333333332, 0.20833333333333334, 0.20833333333333334, 0.3125, 0.3125, 0.3541666666666667, 0.3541666666666667, 0.375, 0.375, 0.4375, 0.4375, 0.4791666666666667, 0.4791666666666667, 0.6666666666666666, 0.6666666666666666, 0.8541666666666666, 0.8541666666666666, 1.0]","[0.0, 0.0, 0.1, 0.1, 0.2, 0.2, 0.3, 0.3, 0.4, 0.4, 0.6, 0.6, 0.7, 0.7, 0.8, 0.8, 0.9, 0.9, 1.0, 1.0]",6,0.630507180804298
Epat34,0.30357142857142855,0.5288461538461539,0.1702127659574468,1.0,0.25,0.25,0.1971228,"[0.0, 0.019230769230769232, 0.21153846153846154, 0.21153846153846154, 0.3269230769230769, 0.3269230769230769, 0.5961538461538461, 0.5961538461538461, 0.75, 0.75, 1.0]","[0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]",6,0.6273772097817192
Spat50,0.05555555555555555,0.019230769230769273,0.07272727272727272,1.0,0.019230769230769273,0.019230769230769273,0.16126367,"[0.0, 0.019230769230769232, 0.9807692307692307, 0.9807692307692307, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0]",6,0.6040369706862342
Spat55,1.0,,0.0,,1.0,,inf,"[0.0, 0.020833333333333332, 1.0]","[nan, nan, nan]",6,0.6243603200812614
Spat31,0.7631578947368421,0.7070707070707071,0.5714285714285714,0.5454545454545454,0.8518518518518519,0.3973063973063973,0.3815335,"[0.0, 0.0, 0.037037037037037035, 0.037037037037037035, 0.07407407407407407, 0.07407407407407407, 0.14814814814814814, 0.14814814814814814, 0.5185185185185185, 0.5185185185185185, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.18181818181818182, 0.36363636363636365, 0.36363636363636365, 0.5454545454545454, 0.5454545454545454, 0.9090909090909091, 0.9090909090909091, 1.0, 1.0]",6,0.6109071663624265
